"hhid","grappe","menage","region","region_nom","departement","departement_nom","head_sexe","head_age","head_martial_status","head_religion","head_phone","head_internet","head_education","head_educlevel_max","head_travail_champs","head_travail_remun_com","head_travail_salarie","head_travail_non_exerce","head_source_rev_prin","head_bovin_farming","head_caprin_farming","head_salaire_emploi","head_salaire_emploi2","head_bank","head_credit","head_credit_demand","head_credit_obtention","head_credit_last","head_credit_util","owner_head_goat","owner_man_goat","owner_woman_goat","owner_married_goat","owner_school_goat","owner_bank_goat","owner_savings_goat","owner_phone_goat","owner_internet_goat","owner_job_goat","owner_business_goat","owner_farming_pr_goat","owner_farming_sec_goat","owner_num_species_goat","owner_decision_sale_goat","owner_total_sale_value_goat","owner_milk_production_goat","owner_milk_sale_revenue_goat","owner_healthcare_expenditure_goat","owner_head_sheep","owner_man_sheep","owner_woman_sheep","owner_married_sheep","owner_school_sheep","owner_bank_sheep","owner_savings_sheep","owner_phone_sheep","owner_internet_sheep","owner_job_sheep","owner_business_sheep","owner_farming_pr_sheep","owner_farming_sec_sheep","owner_num_species_sheep","owner_decision_sale_sheep","owner_total_sale_value_sheep","owner_milk_production_sheep","owner_milk_sale_revenue_sheep","owner_healthcare_expenditure_sheep","vaccine","household_tv","household_transp","household_radio","household_tel_port","household_tel_fixe","nb_article","etat_article","val_fcfa","prix_revente","reseau_elect_men","reseau_mobile_men","internet_men","percep_rev_men","percep_rev_voisins","percep_rev_capitale","percep_rev_classement","percep_rev_mttmin","diff_dep_loyer","diff_dep_ecl","diff_dep_maladie","diff_dep_transport","diff_sco_enfts","choc_nature","choc_men","choc_me_conseq","choc_str_epargne","choc_str_aide_parents_amis","choc_str_aide_gouvernement","choc_str_aide_religieuses_ONG","choc_str_marier_enfants","choc_str_changement_consommation","choc_str_achat_aliments_moins_chers","choc_str_membres_actifs_emplois_supp","choc_str_membres_adultes_emplois","choc_str_enfants_travailler","choc_str_enfants_descolarises","choc_str_migration","choc_str_reduction_depenses_sante_educ","choc_str_obtention_credit","choc_str_vente_actifs_agricoles","choc_str_vente_biens_durables","choc_str_vente_terrain_immeubles","choc_str_location_terres","choc_str_vente_stock_vivres","choc_str_activites_peche","choc_str_vente_betail","choc_str_confiage_enfants","choc_str_activites_spirituelles","choc_str_culture_contre_saison","choc_str_autre_strategie","choc_str_aucune_strategie","entreprise_nonag_pres","entreprise_nonag_benef","wealth","distance_ville_pr","voie_acces_pr","voie_acces_autre","transp_dispo","transp_moto","transp_voiture","transp_train","transp_pirogue","transp_present","moy_transp_pr","moy_transp_pr_freq","moy_transp_pr_freq_autre","reseau_elect","reseau_mobile","presence_cs","service_hopital","service_autre_sante","service_cabinet","service_banque","service_cea","service_bab","service_transport","service_transport_autre","service_temps_moy","service_pb_aucun","service_pb_eloignmnt","service_pb_insf","service_pb_qualif","service_pb_att","service_pb_acc","service_pb_lieu","service_pb_acces","service_pb_inf","service_pb_prx","service_pb_corr"
"ner179002",179,2,4,"maradi",44,"gazaoua","homme",38,"divorce","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Occasion",7500,3000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Très pauvre",50000,FALSE,FALSE,TRUE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner179003",179,3,4,"maradi",44,"gazaoua","femmme",80,"veuf","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner179004",179,4,4,"maradi",44,"gazaoua","homme",40,"marie polygame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner179005",179,5,4,"maradi",44,"gazaoua","homme",30,"marie polygame","musulman",TRUE,FALSE,"TRUE","primaire",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,6,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,6,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",366000,200000,FALSE,FALSE,FALSE,"Bien","Moins bien","Moins bien","Moyen",300000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner179006",179,6,4,"maradi",44,"gazaoua","homme",40,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner179008",179,8,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,2,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1790010",179,10,4,"maradi",44,"gazaoua","homme",47,"marie polygame","musulman",TRUE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,5,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,5,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Occasion",7000,6000,FALSE,FALSE,FALSE,"Passablement","Ne sait pas","Moins bien","Pauvre",30000,FALSE,FALSE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1790012",179,12,4,"maradi",44,"gazaoua","homme",28,"marie monogame","musulman",FALSE,FALSE,"TRUE","primaire",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Route en laterite","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner180001",180,1,4,"maradi",44,"gazaoua","homme",48,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,3000,"Consommation menage",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",20000,100000,FALSE,FALSE,FALSE,"Passablement","Moins bien","Moins bien","Pauvre",200000,FALSE,TRUE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,20000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner180004",180,4,4,"maradi",44,"gazaoua","homme",40,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,1500,"Consommation menage",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,3,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",30000,150000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Pauvre",50000,FALSE,TRUE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,30000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner180005",180,5,4,"maradi",44,"gazaoua","homme",NA,"marie polygame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,16500,"Consommation menage",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",40000,100000,FALSE,FALSE,FALSE,"Difficilement","Moins bien","Moins bien","Pauvre",70000,FALSE,TRUE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,40000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner180009",180,9,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,7000,"Consommation menage",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",5000,110000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Très pauvre",60000,FALSE,TRUE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner180009",180,9,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,7000,"Consommation menage",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",5000,110000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Très pauvre",60000,FALSE,TRUE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1800010",180,10,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",4000,63000,FALSE,FALSE,FALSE,"Difficilement","Moins bien","Moins bien","Très pauvre",90000,FALSE,TRUE,FALSE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,4000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1800011",180,11,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,2,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,2,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",12000,10000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Très pauvre",150000,FALSE,TRUE,TRUE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1800012",180,12,4,"maradi",44,"gazaoua","homme",NA,"marie polygame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",5000,62000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Ne sait pas","Très pauvre",120000,FALSE,TRUE,TRUE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner1800016",180,16,4,"maradi",44,"gazaoua","homme",NA,"marie polygame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,16500,"Consommation menage",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",20000,80000,FALSE,FALSE,FALSE,"Difficilement","Pareillement","Moins bien","Très pauvre",50000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,20000,15,"Route en laterite","",FALSE,NA,NA,NA,NA,NA,"NA","NA","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner181002",181,2,4,"maradi",44,"gazaoua","homme",NA,"marie monogame","musulman",TRUE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,3000,"Evenements",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Occasion",8000,3000,FALSE,FALSE,FALSE,"Difficilement","Moins bien","Moins bien","Très pauvre",70000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,7,"Piste","",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Moto/Tricyle","Une fois par jour","",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pieds","",106,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
